STATION,STNAME,LATITUDE,LONGITUDE,FISHING,FISH,Field pH,Field DO,Field Temp,Field SampTemp,Field AirTemp,Field SampDepth,Field Turb,Field EC,EC,Color,Temp,pH,Total Alk,BiCarb,Cab,OH,Hardness,CalcHardness,Calc TDS,TSS,Ca,Cl,Mg,Nitrate,Nitrite,NO3+NO2,Ammonia,Kjeldahl N,Total N,DO,Total P,FRP,K,Na,SO4,Al,As,Cd,Cr,Cu,F,Fe,Pb,Mn,Hg,Mo,Ni,Se,SiO2,Zn,Anions,Cations,TOC,DOC,Chlorophyll-a,Phaeophytin,LOCATION,BOATING,ZONETYPE,ZONESUBTYP,DISPLAY_HE,ZONEID
226021,NARRACAN CREEK,-38.16300439,146.2690819,0,,77,77,0,0,0,77,91,0,0,83,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,83,0,0,83,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MOE,0,,,,
226023,TRARALGON CREEK,-38.19405359,146.5439326,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRARALGON,0,,,,
226027,LA TROBE RIVER,-38.14491292,147.127818,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWING BRIDGE,0,,,,
226028,TYERS R,-38.13938877,146.4465805,0,,163,163,0,0,0,161,176,0,0,126,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,143,3,0,143,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUMP HOUSE,0,,,,
226041,LAKE WELLINGTON,-38.1233752,147.3750806,0,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BULL BAY,0,,,,
226204,LATROBE RIVER,-38.08850552,146.1596572,0,,316,315,0,0,0,314,329,0,0,322,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,9,320,0,0,320,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WILLOW GROVE,0,,,,
226205,LATROBE RIVER,-37.90701017,146.0221188,0,,257,257,0,0,0,257,257,0,0,99,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,99,0,0,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOOJEE,0,,,,
226209,MOE RIVER,-38.20566815,146.0021236,0,,195,194,0,0,0,193,207,0,0,205,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,205,0,0,205,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DARNUM,0,,,,
226216,TANJIL RIVER,-38.09467319,146.2422901,0,,245,245,0,0,0,245,258,0,0,131,0,0,43,0,0,0,0,0,0,131,43,43,43,0,0,0,0,131,0,0,131,87,43,43,43,0,0,0,0,0,0,43,0,43,0,0,0,0,42,0,0,0,43,0,0,0,TANJIL SOUTH,0,,,,
226218,NARRACAN CREEK,-38.27191618,146.1865277,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THORPDALE,0,,,,
