AREA,PERIMETER,UNIQUEID,SCHEDULERE,SURVEYORCO,WATERSEDGE,ZONETYPE,ZONESUBTYP,CLAUSE,SURVEYDATE,FTYPE_CODE,WATERWAY_I,SCHEDULE_T,DISPLAY_HE,DISPLAY_TE,CONDITIONA,CONDITIO_1,CREATION_T,DISPLAY_RE,DISPLAY_IC,ZONEID,SURVEYORNA,Shape_Leng,Shape_Area
0.00000037572,0.00256883804,KangarooLake_0002,"140",Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,"5",11/07/2011,,30.00000000000,,Access Lane - Water Skiing,,"0",,AUTO,"Refer to Schedule 140, Clause 5",SkiingPermitted.png,140-1.b,Tad Knaggs,0.00256883741,0.00000037572
0.00000072222,0.00385365477,KangarooLake_0003,"140",Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,"5",11/07/2011,,30.00000000000,,Access Lane - Water Skiing,,"0",,AUTO,"Refer to Schedule 140, Clause 5",SkiingPermitted.png,140-1.c,Tad Knaggs,0.00385365561,0.00000072222
0.00000026631,0.00208522778,KangarooLake_0004,"140",Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,"5",11/07/2011,,30.00000000000,,Access Lane - Water Skiing,,"0",,AUTO,"Refer to Schedule 140, Clause 5",SkiingPermitted.png,140-1.d,Tad Knaggs,0.00208522875,0.00000026631
0.00000042277,0.00283923096,KangarooLake_0005,"140",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",11/07/2011,,30.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 140, Clause 9",NoBoating.png,140-2.a,Tad Knaggs,0.00283923192,0.00000042277
0.00000012455,0.00145563675,KangarooLake_0006,"140",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",11/07/2011,,30.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 140, Clause 9",NoBoating.png,140-2.b,Tad Knaggs,0.00145563837,0.00000012455
0.00000250220,0.01168901161,KangarooLake_0007,"140",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",11/07/2011,,30.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 140, Clause 9",NoBoating.png,140-2.c,Tad Knaggs,0.01168901245,0.00000250220
0.00000217507,0.00909880212,KangarooLake_0008,"140",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",11/07/2011,,30.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 140, Clause 9",NoBoating.png,140-2.d,Tad Knaggs,0.00909880150,0.00000217507
0.00000141994,0.00703927012,KangarooLake_0009,"140",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",11/07/2011,,30.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 140, Clause 9",NoBoating.png,140-2.e,Tad Knaggs,0.00703926875,0.00000141994
0.00002156492,0.02357538759,Kerferd-Lake_0001,"102",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",2/04/2012,,31.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 102, Clause 9",NoBoating.png,102-1,Tad Knaggs,0.02357539090,0.00002156492
0.00000023571,0.00228231593,Laanecoorie_0001,"065",Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,"5",25/07/2011,,32.00000000000,,Access Lane - Water Skiing,,"1",,AUTO,"Refer to Schedule 065, Clause 5",SkiingPermitted.png,065-1 (>31.5%),Tad Knaggs,0.00228231620,0.00000023571
0.00000293202,0.00760827479,Laanecoorie_0002,"065",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",25/07/2011,,32.00000000000,,Vessels Prohibited (All Vessels),,"2",,AUTO,"Refer to Schedule 065, Clause 9",NoBoating.png,065-2.a (<31.5%),Tad Knaggs,0.00760827367,0.00000293202
0.00000293202,0.00760827479,Laanecoorie_0007,"065",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",25/07/2011,,32.00000000000,,Vessels Prohibited (All Vessels),,"1",,AUTO,"Refer to Schedule 065, Clause 9",NoBoating.png,065-3.a (>31.5%),Tad Knaggs,0.00760827367,0.00000293202
